row,text,category
4,Periodenergebnis,readonly
6,Abschreibungen auf Gegenstände des Anlagevermögens,readonly
8,Veränderungen der Rückstellungen,readonly
10,Sonstige zahlungsunwirksame Veränderungen,readonly
12,Veränderungen der Vorräte,readonly
14,Veränderungen der Forderungen und übrigen Aktiva,readonly
16,Veränderungen der Verbindlichkeiten und übrigen Passiva,readonly
18,Zinsergebnis,readonly
20,Einzahlungen aus außerordentlichen Posten,forecast
22,Auszahlungen aus außerordentlichen Posten,forecast
24,Cashflow aus laufender Geschäftstätigkeit,readonly
27,Auszahlungen für Investitionen in Gegenstände des Anlagevermögens,readonly
29,Einzahlungen aus dem Abgang von Gegenständen des Anlagevermögens,forecast
31,Auszahlungen im Rahmen der kurz- und mittelfristigen Finanzdisposition,forecast
33,Einzahlungen im Rahmen der kurz- und mittelfristigen Finanzdisposition,forecast
35,Erhaltene Dividenden,forecast
37,Erhaltene Zinsen,readonly
39,Einzahlungen aus außerordentlichen Posten,forecast
41,Auszahlungen aus außerordentlichen Posten,forecast
43,Cashflow aus der Investitionstätigkeit,readonly
46,Einzahlung aus der Aufnahme von Finanzverbindlichkeiten,forecast
48,Auszahlungen aus der Tilgung von Finanzverbindlichkeiten,forecast
50,Gezahlte Zinsen,readonly
52,Einzahlungen aus außerordentlichen Posten,forecast
54,Auszahlungen aus außerordentlichen Posten,forecast
56,Dividenden an Gesellschafter,forecast
58,Cashflow aus der Finanzierungstätigkeit,readonly
61,Zahlungswirksame Veränderungen des Finanzmittelfonds,readonly
62,Finanzmittelfonds am Anfang der Periode,readonly
63,Finanzmittelfonds am Ende der Periode,readonly
